## 水质传感器的先验概率
| X3 | P(X3) |
|----|-------|
| 0  | 0.7   |
| 1  | 0.2   |
| 2  | 0.08  |
| 3  | 0.02  |

## 中央控制服务器在不同水质传感器状态下的条件概率
| X3 | X1 | P(X1∣X3) |
|----|----|-----------|
| 0  | 0  | 0.85      |
| 0  | 1  | 0.1       |
| 0  | 2  | 0.04      |
| 0  | 3  | 0.01      |
| 1  | 0  | 0.8       |
| 1  | 1  | 0.1       |
| 1  | 2  | 0.06      |
| 1  | 3  | 0.04      |
| 2  | 0  | 0.6       |
| 2  | 1  | 0.25      |
| 2  | 2  | 0.1       |
| 2  | 3  | 0.05      |
| 3  | 0  | 0.4       |
| 3  | 1  | 0.3       |
| 3  | 2  | 0.2       |
| 3  | 3  | 0.1       |

## 水泵在不同中央控制服务器状态下的条件概率
| X1 | X2 | P(X2∣X1) |
|----|----|-----------|
| 0  | 0  | 0.95      |
| 0  | 1  | 0.04      |
| 0  | 2  | 0.008     |
| 0  | 3  | 0.002     |
| 1  | 0  | 0.7       |
| 1  | 1  | 0.2       |
| 1  | 2  | 0.08      |
| 1  | 3  | 0.02      |
| 2  | 0  | 0.3       |
| 2  | 1  | 0.4       |
| 2  | 2  | 0.2       |
| 2  | 3  | 0.1       |
| 3  | 0  | 0.05      |
| 3  | 1  | 0.15      |
| 3  | 2  | 0.3       |
| 3  | 3  | 0.5       |

## 流量控制器在不同中央控制服务器和水泵状态下的条件概率
| X1 | X2 | X4 | P(X4∣X1,X2) |
|----|----|----|---------------|
| 0  | 0  | 0  | 0.98          |
| 0  | 0  | 1  | 0.015         |
| 0  | 0  | 2  | 0.004         |
| 0  | 0  | 3  | 0.001         |
| 0  | 1  | 0  | 0.8           |
| 0  | 1  | 1  | 0.15          |
| 0  | 1  | 2  | 0.04          |
| 0  | 1  | 3  | 0.01          |
| 0  | 2  | 0  | 0.6           |
| 0  | 2  | 1  | 0.25          |
| 0  | 2  | 2  | 0.1           |
| 0  | 2  | 3  | 0.05          |
| 0  | 3  | 0  | 0.4           |
| 0  | 3  | 1  | 0.3           |
| 0  | 3  | 2  | 0.2           |
| 0  | 3  | 3  | 0.1           |
| 1  | 0  | 0  | 0.85          |
| 1  | 0  | 1  | 0.1           |
| 1  | 0  | 2  | 0.04          |
| 1  | 0  | 3  | 0.01          |
| 1  | 1  | 0  | 0.65          |
| 1  | 1  | 1  | 0.2           |
| 1  | 1  | 2  | 0.1           |
| 1  | 1  | 3  | 0.05          |
| 1  | 2  | 0  | 0.4           |
| 1  | 2  | 1  | 0.3           |
| 1  | 2  | 2  | 0.2           |
| 1  | 2  | 3  | 0.1           |
| 1  | 3  | 0  | 0.2           |
| 1  | 3  | 1  | 0.3           |
| 1  | 3  | 2  | 0.3           |
| 1  | 3  | 3  | 0.2           |
| 2  | 0  | 0  | 0.6           |
| 2  | 0  | 1  | 0.25          |
| 2  | 0  | 2  | 0.1           |
| 2  | 0  | 3  | 0.05          |
| 2  | 1  | 0  | 0.4           |
| 2  | 1  | 1  | 0.3           |
| 2  | 1  | 2  | 0.2           |
| 2  | 1  | 3  | 0.1           |
| 2  | 2  | 0  | 0.2           |
| 2  | 2  | 1  | 0.3           |
| 2  | 2  | 2  | 0.3           |
| 2  | 2  | 3  | 0.2           |
| 2  | 3  | 0  | 0.1           |
| 2  | 3  | 1  | 0.2           |
| 2  | 3  | 2  | 0.3           |
| 2  | 3  | 3  | 0.4           |
| 3  | 0  | 0  | 0.4           |
| 3  | 0  | 1  | 0.3           |
| 3  | 0  | 2  | 0.2           |
| 3  | 0  | 3  | 0.1           |
| 3  | 1  | 0  | 0.2           |
| 3  | 1  | 1  | 0.3           |
| 3  | 1  | 2  | 0.3           |
| 3  | 1  | 3  | 0.2           |
| 3  | 2  | 0  | 0.1           |
| 3  | 2  | 1  | 0.2           |
| 3  | 2  | 2  | 0.3           |
| 3  | 2  | 3  | 0.4           |
| 3  | 3  | 0  | 0.05          |
| 3  | 3  | 1  | 0.15          |
| 3  | 3  | 2  | 0.3           |
| 3  | 3  | 3  | 0.5           |
