==攻击策略 a1（DDoS 攻击） vs 防御策略 d1（IDS/IPS 部署）
#X1,A1,D1,X1_t1,P(X1_t1|X1;A1;D1)
0,0,0,0,1
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,1,0,0,0
0,1,0,1,0.9
0,1,0,2,0.08
0,1,0,3,0.02
0,0,1,0,1
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,1,1,0,0.7
0,1,1,1,0.25
0,1,1,2,0.04
0,1,1,3,0.01
1,0,0,0,0
1,0,0,1,1
1,0,0,2,0
1,0,0,3,0
1,1,0,0,0
1,1,0,1,0.3
1,1,0,2,0.65
1,1,0,3,0.05
1,0,1,0,0.75
1,0,1,1,0.25
1,0,1,2,0
1,0,1,3,0
1,1,1,0,0.1
1,1,1,1,0.6
1,1,1,2,0.25
1,1,1,3,0.05
2,0,0,0,0
2,0,0,1,0
2,0,0,2,1
2,0,0,3,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0.1
2,1,0,3,0.9
2,0,1,0,0
2,0,1,1,0.8
2,0,1,2,0.2
2,0,1,3,0
2,1,1,0,0
2,1,1,1,0.3
2,1,1,2,0.5
2,1,1,3,0.2
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0,0,3,1
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,1
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,1
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,1

==攻击策略 a2（漏洞利用攻击） vs 防御策略 d2（漏洞修复）
#X1,A2,D2,X1_t1,P(X1_t1|X1;A2;D2)
0,0,0,0,1
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,1,0,0,0
0,1,0,1,0.85
0,1,0,2,0.1
0,1,0,3,0.05
0,0,1,0,1
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,1,1,0,0.65
0,1,1,1,0.3
0,1,1,2,0.04
0,1,1,3,0.01
1,0,0,0,0
1,0,0,1,1
1,0,0,2,0
1,0,0,3,0
1,1,0,0,0
1,1,0,1,0.2
1,1,0,2,0.75
1,1,0,3,0.05
1,0,1,0,0.8
1,0,1,1,0.2
1,0,1,2,0
1,0,1,3,0
1,1,1,0,0.15
1,1,1,1,0.5
1,1,1,2,0.3
1,1,1,3,0.05
2,0,0,0,0
2,0,0,1,0
2,0,0,2,1
2,0,0,3,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0.05
2,1,0,3,0.95
2,0,1,0,0
2,0,1,1,0.85
2,0,1,2,0.15
2,0,1,3,0
2,1,1,0,0
2,1,1,1,0.25
2,1,1,2,0.45
2,1,1,3,0.3
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0,0,3,1
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,1
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,1
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,1

==攻击策略 a3（伪造控制指令） vs 防御策略 d3（控制网络加密）
#X2,A3,D3,X2_t1,P(X2_t1|X2;A3;D3)
0,0,0,0,1
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,1,0,0,0
0,1,0,1,0.8
0,1,0,2,0.15
0,1,0,3,0.05
0,0,1,0,1
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,1,1,0,0.65
0,1,1,1,0.25
0,1,1,2,0.08
0,1,1,3,0.02
1,0,0,0,0
