| X1 | Y1 | P(Y1∣X1) |
| ---- | ---- | ---- |
| 0 | 0 | 0.7 |
| 0 | 1 | 0.2 |
| 0 | 2 | 0.1 |
| 0 | 3 | 0.0 |
| 1 | 0 | 0.15 |
| 1 | 1 | 0.75 |
| 1 | 2 | 0.1 |
| 1 | 3 | 0.0 |
| 2 | 0 | 0.0 |
| 2 | 1 | 0.4 |
| 2 | 2 | 0.6 |
| 2 | 3 | 0.0 |
| 3 | 0 | 0.0 |
| 3 | 1 | 0.3 |
| 3 | 2 | 0.7 |
| 3 | 3 | 0.0 |  

| X2 | Y2 | P(Y2∣X2) |
| ---- | ---- | ---- |
| 0 | 0 | 0.75 |
| 0 | 1 | 0.15 |
| 0 | 2 | 0.1 |
| 0 | 3 | 0.0 |
| 1 | 0 | 0.2 |
| 1 | 1 | 0.7 |
| 1 | 2 | 0.1 |
| 1 | 3 | 0.0 |
| 2 | 0 | 0.0 |
| 2 | 1 | 0.2 |
| 2 | 2 | 0.8 |
| 2 | 3 | 0.0 |
| 3 | 0 | 0.1 |
| 3 | 1 | 0.3 |
| 3 | 2 | 0.6 |
| 3 | 3 | 0.0 |

| X3 | Y3 | P(Y3∣X3) |
| ---- | ---- | ---- |
| 0 | 0 | 0.8 |
| 0 | 1 | 0.15 |
| 0 | 2 | 0.05 |
| 0 | 3 | 0.0 |
| 1 | 0 | 0.3 |
| 1 | 1 | 0.6 |
| 1 | 2 | 0.1 |
| 1 | 3 | 0.0 |
| 2 | 0 | 0.1 |  # 低概率误判正常
| 2 | 1 | 0.3 |  # 误判数据偏差
| 2 | 2 | 0.6 |  # 高概率观测到篡改
| 2 | 3 | 0.0 |  
| 3 | 0 | 0.2 |
| 3 | 1 | 0.4 |
| 3 | 2 | 0.4 |
| 3 | 3 | 0.0 |

| X4 | Y4 | P(Y4∣X4) |
| ---- | ---- | ---- |
| 0 | 0 | 0.7 |
| 0 | 1 | 0.2 |
| 0 | 2 | 0.1 |
| 0 | 3 | 0.0 |
| 1 | 0 | 0.3 |
| 1 | 1 | 0.6 |
| 1 | 2 | 0.1 |
| 1 | 3 | 0.0 |
| 2 | 0 | 0.1 |
| 2 | 1 | 0.2 |
| 2 | 2 | 0.7 |
| 2 | 3 | 0.0 |
| 3 | 0 | 0.1 |
| 3 | 1 | 0.3 |
| 3 | 2 | 0.6 |
| 3 | 3 | 0.0 |
