target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.927782;0.057774;0.014444;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.836943;0.108705;0.043482;0.010870
X_4;X_1,X_2;0,1,2,3;0;2;0.610739;0.243288;0.116778;0.029195
X_4;X_1,X_2;0,1,2,3;0;3;0.503387;0.297968;0.148984;0.049661
X_4;X_1,X_2;0,1,2,3;1;0;0.805049;0.146214;0.038990;0.009748
X_4;X_1,X_2;0,1,2,3;1;1;0.713906;0.190729;0.076292;0.019073
X_4;X_1,X_2;0,1,2,3;1;2;0.461133;0.293927;0.195952;0.048988
X_4;X_1,X_2;0,1,2,3;1;3;0.355454;0.347063;0.247902;0.049580
X_4;X_1,X_2;0,1,2,3;2;0;0.560783;0.292811;0.117125;0.029281
X_4;X_1,X_2;0,1,2,3;2;1;0.397610;0.351394;0.200797;0.050199
X_4;X_1,X_2;0,1,2,3;2;2;0.100467;0.200933;0.497667;0.200933
X_4;X_1,X_2;0,1,2,3;2;3;0.050794;0.152383;0.441263;0.355560
X_4;X_1,X_2;0,1,2,3;3;0;0.393402;0.353849;0.202199;0.050550
X_4;X_1,X_2;0,1,2,3;3;1;0.295452;0.301949;0.301949;0.100650
X_4;X_1,X_2;0,1,2,3;3;2;0.049295;0.098590;0.394359;0.457756
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.048339;0.241696;0.709965
