target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_7=0;X_7=1;X_7=2;X_7=3
X_7;X_3,X_4,X_5;0,1,2,3;0;0;0;0.712695;0.207498;0.063846;0.015961
X_7;X_3,X_4,X_5;0,1,2,3;0;0;1;0.689655;0.232759;0.062069;0.015517
X_7;X_3,X_4,X_5;0,1,2,3;0;0;2;0.882610;0.085374;0.026679;0.005336
X_7;X_3,X_4,X_5;0,1,2,3;0;0;3;0.447808;0.356624;0.138048;0.057520
X_7;X_3,X_4,X_5;0,1,2,3;0;1;0;0.695030;0.228728;0.060994;0.015249
X_7;X_3,X_4,X_5;0,1,2,3;0;1;1;0.658890;0.252125;0.074154;0.014831
X_7;X_3,X_4,X_5;0,1,2,3;0;1;2;0.432783;0.374363;0.147476;0.045377
X_7;X_3,X_4,X_5;0,1,2,3;0;1;3;0.548116;0.295462;0.121661;0.034760
X_7;X_3,X_4,X_5;0,1,2,3;0;2;0;0.882407;0.085522;0.026726;0.005345
X_7;X_3,X_4,X_5;0,1,2,3;0;2;1;0.441611;0.364662;0.136748;0.056978
X_7;X_3,X_4,X_5;0,1,2,3;0;2;2;0.422385;0.373751;0.158561;0.045303
X_7;X_3,X_4,X_5;0,1,2,3;0;2;3;0.512397;0.319159;0.132983;0.035462
X_7;X_3,X_4,X_5;0,1,2,3;0;3;0;0.433121;0.374140;0.147388;0.045350
X_7;X_3,X_4,X_5;0,1,2,3;0;3;1;0.402511;0.394568;0.157827;0.045094
X_7;X_3,X_4,X_5;0,1,2,3;0;3;2;0.285351;0.352473;0.252426;0.109750
X_7;X_3,X_4,X_5;0,1,2,3;0;3;3;0.251802;0.375969;0.273698;0.098531
X_7;X_3,X_4,X_5;0,1,2,3;1;0;0;0.697635;0.222795;0.063656;0.015914
X_7;X_3,X_4,X_5;0,1,2,3;1;0;1;0.672416;0.249588;0.062397;0.015599
X_7;X_3,X_4,X_5;0,1,2,3;1;0;2;0.588159;0.265980;0.102960;0.042900
X_7;X_3,X_4,X_5;0,1,2,3;1;0;3;0.561479;0.283749;0.120378;0.034394
X_7;X_3,X_4,X_5;0,1,2,3;1;1;0;0.690973;0.235449;0.058862;0.014716
X_7;X_3,X_4,X_5;0,1,2,3;1;1;1;0.443580;0.363376;0.136266;0.056778
X_7;X_3,X_4,X_5;0,1,2,3;1;1;2;0.559737;0.284876;0.120857;0.034530
X_7;X_3,X_4,X_5;0,1,2,3;1;1;3;0.513572;0.318389;0.132662;0.035377
X_7;X_3,X_4,X_5;0,1,2,3;1;2;0;0.430582;0.375816;0.148049;0.045553
X_7;X_3,X_4,X_5;0,1,2,3;1;2;1;0.404415;0.393311;0.157324;0.044950
X_7;X_3,X_4,X_5;0,1,2,3;1;2;2;0.237218;0.461699;0.209846;0.091238
X_7;X_3,X_4,X_5;0,1,2,3;1;2;3;0.252493;0.374257;0.274448;0.098801
X_7;X_3,X_4,X_5;0,1,2,3;1;3;0;0.539721;0.303958;0.121583;0.034738
X_7;X_3,X_4,X_5;0,1,2,3;1;3;1;0.232915;0.471463;0.206040;0.089583
X_7;X_3,X_4,X_5;0,1,2,3;1;3;2;0.255464;0.366893;0.277679;0.099964
X_7;X_3,X_4,X_5;0,1,2,3;1;3;3;0.179457;0.497520;0.242267;0.080756
X_7;X_3,X_4,X_5;0,1,2,3;2;0;0;0.902343;0.074405;0.018601;0.004650
X_7;X_3,X_4,X_5;0,1,2,3;2;0;1;0.437808;0.367146;0.137680;0.057367
X_7;X_3,X_4,X_5;0,1,2,3;2;0;2;0.425084;0.372005;0.157820;0.045091
X_7;X_3,X_4,X_5;0,1,2,3;2;0;3;0.513858;0.318202;0.132584;0.035356
X_7;X_3,X_4,X_5;0,1,2,3;2;1;0;0.569694;0.284002;0.111880;0.034424
X_7;X_3,X_4,X_5;0,1,2,3;2;1;1;0.532283;0.308869;0.123548;0.035299
X_7;X_3,X_4,X_5;0,1,2,3;2;1;2;0.287100;0.348504;0.253973;0.110423
X_7;X_3,X_4,X_5;0,1,2,3;2;1;3;0.254436;0.369440;0.276561;0.099562
X_7;X_3,X_4,X_5;0,1,2,3;2;2;0;0.404095;0.393522;0.157409;0.044974
X_7;X_3,X_4,X_5;0,1,2,3;2;2;1;0.284391;0.354651;0.251577;0.109381
X_7;X_3,X_4,X_5;0,1,2,3;2;2;2;0.254566;0.369119;0.276702;0.099613
X_7;X_3,X_4,X_5;0,1,2,3;2;2;3;0.220396;0.382892;0.297534;0.099178
X_7;X_3,X_4,X_5;0,1,2,3;2;3;0;0.235324;0.465995;0.208172;0.090509
X_7;X_3,X_4,X_5;0,1,2,3;2;3;1;0.255349;0.367178;0.277554;0.099919
X_7;X_3,X_4,X_5;0,1,2,3;2;3;2;0.081189;0.234545;0.467764;0.216503
X_7;X_3,X_4,X_5;0,1,2,3;2;3;3;0.077291;0.298121;0.370633;0.253955
X_7;X_3,X_4,X_5;0,1,2,3;3;0;0;0.428077;0.377469;0.148700;0.045754
X_7;X_3,X_4,X_5;0,1,2,3;3;0;1;0.407024;0.391588;0.156635;0.044753
X_7;X_3,X_4,X_5;0,1,2,3;3;0;2;0.286611;0.349614;0.253540;0.110235
X_7;X_3,X_4,X_5;0,1,2,3;3;0;3;0.205527;0.490651;0.223399;0.080423
X_7;X_3,X_4,X_5;0,1,2,3;3;1;0;0.538462;0.304789;0.121916;0.034833
X_7;X_3,X_4,X_5;0,1,2,3;3;1;1;0.236053;0.464342;0.208816;0.090789
X_7;X_3,X_4,X_5;0,1,2,3;3;1;2;0.254318;0.369733;0.276433;0.099516
X_7;X_3,X_4,X_5;0,1,2,3;3;1;3;0.220046;0.383870;0.297063;0.099021
X_7;X_3,X_4,X_5;0,1,2,3;3;2;0;0.234729;0.467346;0.207645;0.090280
X_7;X_3,X_4,X_5;0,1,2,3;3;2;1;0.205559;0.490572;0.223434;0.080436
X_7;X_3,X_4,X_5;0,1,2,3;3;2;2;0.081515;0.235488;0.465624;0.217373
X_7;X_3,X_4,X_5;0,1,2,3;3;2;3;0.077208;0.297803;0.371304;0.253684
X_7;X_3,X_4,X_5;0,1,2,3;3;3;0;0.254557;0.369141;0.276693;0.099609
X_7;X_3,X_4,X_5;0,1,2,3;3;3;1;0.178858;0.499198;0.241458;0.080486
X_7;X_3,X_4,X_5;0,1,2,3;3;3;2;0.063395;0.244523;0.483785;0.208297
X_7;X_3,X_4,X_5;0,1,2,3;3;3;3;0.044573;0.142633;0.320925;0.491869
