target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.731801;0.193103;0.053640;0.021456
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.716961;0.209659;0.062898;0.010483
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.717148;0.212139;0.070713;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.556307;0.295795;0.118318;0.029580
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.738423;0.191153;0.060364;0.010061
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.719667;0.200238;0.070083;0.010012
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.536231;0.305890;0.128276;0.029602
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.492727;0.324655;0.152182;0.030436
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.734991;0.196303;0.058891;0.009815
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.699715;0.220209;0.070066;0.010009
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.468476;0.357756;0.143103;0.030665
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.450384;0.359749;0.159888;0.029979
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.546253;0.305786;0.128233;0.019728
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.528258;0.314494;0.137591;0.019656
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.426391;0.365923;0.178016;0.029669
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.392836;0.384537;0.192269;0.030358
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.727451;0.194678;0.068137;0.009734
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.705031;0.206478;0.078658;0.009832
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.524536;0.316976;0.128772;0.029717
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.511863;0.322170;0.136678;0.029288
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.719713;0.202966;0.067655;0.009665
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.674846;0.223543;0.081289;0.020322
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.487675;0.341550;0.150684;0.020091
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.463582;0.347678;0.158939;0.029801
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.510038;0.329974;0.139989;0.019998
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.470028;0.346520;0.152876;0.030575
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;2;0.284166;0.401221;0.233422;0.081190
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;3;0.251015;0.417645;0.251015;0.080325
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;0;0.445969;0.356163;0.168188;0.029680
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;1;0.403656;0.373978;0.192043;0.030323
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;2;0.222218;0.424254;0.262621;0.090907
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;3;0.192301;0.433219;0.283391;0.091090
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;0;0.705147;0.206397;0.078627;0.009828
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;1;0.676372;0.222494;0.091020;0.010113
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;2;0.493076;0.334570;0.141939;0.030415
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;3;0.458938;0.347096;0.163339;0.030626
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;0;0.681288;0.222132;0.086921;0.009658
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;1;0.665356;0.229470;0.095613;0.009561
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;2;0.449589;0.356748;0.163085;0.030578
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;3;0.435420;0.356577;0.178288;0.029715
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;0;0.440143;0.366452;0.162868;0.030538
