target_variable;parents;target_values;X_1(parent_1);A_1(parent_2);D_1(parent_3);X_1_t1=0;X_1_t1=1;X_1_t1=2;X_1_t1=3
# X_1_t1（工业防火墙下一时隙状态）的CPD，遵循“无攻防状态不变、仅攻击状态不变好、仅防御状态不变差”原则
# X_1_t1 = 0
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;0;1.00;0.00;0.00;0.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;1;1.00;0.00;0.00;0.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;0;0.30;0.40;0.20;0.10
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;1;0.50;0.30;0.15;0.05
# X_1_t1 = 1
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;0;0.00;1.00;0.00;0.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;1;0.40;0.60;0.00;0.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;0;0.00;0.30;0.50;0.20
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;1;0.20;0.50;0.25;0.05
# X_1_t1 = 2
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;0;0.00;0.00;1.00;0.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;1;0.10;0.30;0.60;0.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;0;0.00;0.00;0.40;0.60
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;1;0.05;0.20;0.55;0.20
# X_1_t1 = 3
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;0;0.00;0.00;0.00;1.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;1;0.00;0.10;0.30;0.60
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;0;0.00;0.00;0.00;1.00
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;1;0.00;0.05;0.25;0.70
