target_variable;parents;target_values;X_1_t1(parent_1);X_2_t1(parent_2);X_4_t1(parent_3);X_5_t1(parent_4);X_3_t1=0;X_3_t1=1;X_3_t1=2;X_3_t1=3
# X₁=0→X₂=0→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;0;0;1.00;0.00;0.00;0.00
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;0;1;0.73;0.20;0.06;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;0;2;0.62;0.26;0.12;0.00
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;0;3;0.55;0.30;0.08;0.07
# X₁=0→X₂=0→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;1;0;0.74;0.19;0.06;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;1;1;0.72;0.20;0.07;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;1;2;0.53;0.31;0.13;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;1;3;0.50;0.32;0.15;0.03
# X₁=0→X₂=0→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;2;0;0.73;0.20;0.06;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;2;1;0.70;0.22;0.07;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;2;2;0.48;0.35;0.14;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;2;3;0.45;0.36;0.16;0.03
# X₁=0→X₂=0→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;3;0;0.54;0.31;0.13;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;3;1;0.52;0.32;0.14;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;3;2;0.42;0.37;0.18;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;0;3;3;0.40;0.38;0.19;0.03
# X₁=0→X₂=1→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;0;0;0.72;0.20;0.07;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;0;1;0.70;0.21;0.08;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;0;2;0.52;0.32;0.13;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;0;3;0.50;0.33;0.14;0.03
# X₁=0→X₂=1→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;1;0;0.71;0.21;0.07;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;1;1;0.68;0.22;0.08;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;1;2;0.49;0.34;0.15;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;1;3;0.46;0.35;0.16;0.03
# X₁=0→X₂=1→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;2;0;0.51;0.33;0.14;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;2;1;0.48;0.34;0.15;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;2;2;0.28;0.41;0.23;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;2;3;0.25;0.42;0.25;0.08
# X₁=0→X₂=1→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;3;0;0.44;0.36;0.17;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;3;1;0.41;0.37;0.19;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;3;2;0.22;0.43;0.26;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;1;3;3;0.19;0.44;0.28;0.09
# X₁=0→X₂=2→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;0;0;0.70;0.21;0.08;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;0;1;0.68;0.22;0.09;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;0;2;0.50;0.33;0.14;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;0;3;0.47;0.34;0.16;0.03
# X₁=0→X₂=2→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;1;0;0.67;0.23;0.09;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;1;1;0.65;0.24;0.10;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;1;2;0.46;0.35;0.16;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;1;3;0.43;0.36;0.18;0.03
# X₁=0→X₂=2→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;2;0;0.45;0.36;0.16;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;2;1;0.42;0.37;0.18;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;2;2;0.25;0.42;0.25;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;2;3;0.22;0.43;0.26;0.09
# X₁=0→X₂=2→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;3;0;0.39;0.38;0.20;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;3;1;0.36;0.39;0.22;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;3;2;0.15;0.38;0.35;0.12
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;2;3;3;0.12;0.39;0.36;0.13
# X₁=0→X₂=3→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;0;0;0.65;0.24;0.09;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;0;1;0.62;0.25;0.10;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;0;2;0.48;0.35;0.14;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;0;3;0.45;0.36;0.16;0.03
# X₁=0→X₂=3→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;1;0;0.60;0.26;0.11;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;1;1;0.57;0.27;0.13;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;1;2;0.28;0.41;0.23;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;1;3;0.25;0.42;0.25;0.08
# X₁=0→X₂=3→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;2;0;0.22;0.43;0.26;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;2;1;0.19;0.44;0.28;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;2;2;0.10;0.25;0.40;0.25
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;2;3;0.08;0.26;0.42;0.24
# X₁=0→X₂=3→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;3;0;0.16;0.45;0.30;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;3;1;0.13;0.46;0.32;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;3;2;0.05;0.15;0.35;0.45
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;0;3;3;3;0.05;0.12;0.38;0.45
# X₁=1→X₂=0→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;0;0;0.74;0.19;0.06;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;0;1;0.72;0.20;0.07;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;0;2;0.53;0.31;0.13;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;0;3;0.50;0.32;0.15;0.03
# X₁=1→X₂=0→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;1;0;0.73;0.20;0.06;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;1;1;0.70;0.22;0.07;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;1;2;0.51;0.32;0.14;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;1;3;0.48;0.33;0.16;0.03
# X₁=1→X₂=0→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;2;0;0.52;0.32;0.14;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;2;1;0.50;0.33;0.15;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;2;2;0.40;0.38;0.19;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;2;3;0.38;0.39;0.20;0.03
# X₁=1→X₂=0→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;3;0;0.43;0.37;0.18;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;3;1;0.41;0.38;0.19;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;1;0;3;2;0.23;0.43;0.25;0.09
