target_variable;parents;target_values;X_4(parent_1);A_4(parent_2);D_4(parent_3);X_4_t1=0;X_4_t1=1;X_4_t1=2;X_4_t1=3
# X4(t+1) = 0
X_4_t1;X_4,A_4,D_4;0,1,2,3;0;0;0;1.00;0.00;0.00;0.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;0;0;1;1.00;0.00;0.00;0.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;0;1;0;0.15;0.70;0.15;0.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;0;1;1;0.85;0.10;0.05;0.00
# X4(t+1) = 1
X_4_t1;X_4,A_4,D_4;0,1,2,3;1;0;0;0.00;1.00;0.00;0.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;1;0;1;0.50;0.50;0.00;0.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;1;1;0;0.00;0.15;0.75;0.10
X_4_t1;X_4,A_4,D_4;0,1,2,3;1;1;1;0.25;0.65;0.10;0.00
# X4(t+1) = 2
X_4_t1;X_4,A_4,D_4;0,1,2,3;2;0;0;0.00;0.00;1.00;0.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;2;0;1;0.10;0.60;0.30;0.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;2;1;0;0.00;0.00;0.25;0.75
X_4_t1;X_4,A_4,D_4;0,1,2,3;2;1;1;0.00;0.25;0.65;0.10
# X4(t+1) = 3
X_4_t1;X_4,A_4,D_4;0,1,2,3;3;0;0;0.00;0.00;0.00;1.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;3;0;1;0.00;0.15;0.65;0.20
X_4_t1;X_4,A_4,D_4;0,1,2,3;3;1;0;0.00;0.00;0.00;1.00
X_4_t1;X_4,A_4,D_4;0,1,2,3;3;1;1;0.00;0.10;0.55;0.35
