target_variable;parents;target_values;X_1_t1(parent_1);X_2_t1(parent_2);X_4_t1=0;X_4_t1=1;X_4_t1=2;X_4_t1=3
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;0;0;1.00;0.00;0.00;0.00
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;0;1;0.85;0.10;0.04;0.01
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;0;2;0.60;0.25;0.12;0.03
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;0;3;0.50;0.30;0.15;0.05
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;1;0;0.80;0.15;0.04;0.01
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;1;1;0.70;0.20;0.08;0.02
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;1;2;0.45;0.30;0.20;0.05
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;1;3;0.35;0.35;0.25;0.05
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;2;0;0.55;0.30;0.12;0.03
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;2;1;0.40;0.35;0.20;0.05
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;2;2;0.10;0.20;0.50;0.20
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;2;3;0.05;0.15;0.45;0.35
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;3;0;0.40;0.35;0.20;0.05
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;3;1;0.30;0.30;0.30;0.10
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;3;2;0.05;0.10;0.40;0.45
X_4_t1;X_1_t1,X_2_t1;0,1,2,3;3;3;0.00;0.05;0.25;0.70
