target_variable;parents;target_values;X_2(parent_1);Y_2=0;Y_2=1;Y_2=2;Y_2=3
# Y2（攻击方对X2的观测，状态0=正常、1=轻度异常、2=严重异常、3=完全失效）
# 逻辑：攻击方误判率≥10%，偏向中间状态，对X2=3易误判为严重异常
# X2=0（正常）：84%正确观测，16%误判为轻度异常（误判率16%≥10%）
Y_2;X_2;0,1,2,3;0;0.84;0.16;0.00;0.00
# X2=1（轻度异常）：79%正确观测，6%误判为正常，15%误判为严重异常（总误判率21%≥10%）
Y_2;X_2;0,1,2,3;1;0.06;0.79;0.15;0.00
# X2=2（严重异常）：78%正确观测，12%误判为轻度异常，10%误判为瘫痪（总误判率22%≥10%）
Y_2;X_2;0,1,2,3;2;0.00;0.12;0.78;0.10
# X2=3（完全失效）：68%误判为严重异常，22%正确观测，10%误判为轻度异常（符合“偏向中间状态”）
Y_2;X_2;0,1,2,3;3;0.00;0.10;0.68;0.22
