### **1. IDS/IPS部署 D1（针对中央控制服务器 X1）**
| X1 | D1 | P(D1∣X1) |
| ---- | ---- | ---- |
| 0 | 0 | 0.20 |
| 0 | 1 | 0.80 |
| 1 | 0 | 0.10 |
| 1 | 1 | 0.90 |
| 2 | 0 | 0.40 |
| 2 | 1 | 0.60 |
| 3 | 0 | 0.70 |
| 3 | 1 | 0.30 |

### **2. 漏洞修复 D2（针对中央控制服务器 X1）**
| X1 | D2 | P(D2∣X1) |
| ---- | ---- | ---- |
| 0 | 0 | 0.90 |
| 0 | 1 | 0.10 |
| 1 | 0 | 0.20 |
| 1 | 1 | 0.80 |
| 2 | 0 | 0.10 |
| 2 | 1 | 0.90 |
| 3 | 0 | 0.95 |
| 3 | 1 | 0.05 |

### **3. 控制网络加密 D3（针对水泵 X2）**
| X2 | D3 | P(D3∣X2) |
| ---- | ---- | ---- |
| 0 | 0 | 0.80 |
| 0 | 1 | 0.20 |
| 1 | 0 | 0.30 |
| 1 | 1 | 0.70 |
| 2 | 0 | 0.10 |
| 2 | 1 | 0.90 |
| 3 | 0 | 0.05 |
| 3 | 1 | 0.95 |

### **4. 杀毒软件防护 D4（针对水泵 X2）**
| X2 | D4 | P(D4∣X2) |
| ---- | ---- | ---- |
| 0 | 0 | 0.70 |
| 0 | 1 | 0.30 |
| 1 | 0 | 0.30 |
| 1 | 1 | 0.70 |
| 2 | 0 | 0.10 |
| 2 | 1 | 0.90 |
| 3 | 0 | 0.05 |
| 3 | 1 | 0.95 |

### **5. 数据校验 D5（针对水质传感器 X3）**
| X3 | D5 | P(D5∣X3) |
| ---- | ---- | ---- |
| 0 | 0 | 0.75 |
| 0 | 1 | 0.25 |
| 1 | 0 | 0.10 |
| 1 | 1 | 0.90 |
| 2 | 0 | 0.05 |
| 2 | 1 | 0.95 |
| 3 | 0 | 0.05 |
| 3 | 1 | 0.95 |

### **6. 软件安全审计 D6（针对流量控制器 X4）**
| X4 | D6 | P(D6∣X4) |
| ---- | ---- | ---- |
| 0 | 0 | 0.80 |
| 0 | 1 | 0.20 |
| 1 | 0 | 0.20 |
| 1 | 1 | 0.80 |
| 2 | 0 | 0.10 |
| 2 | 1 | 0.90 |
| 3 | 0 | 0.05 |
| 3 | 1 | 0.95 |

### **7. 指令验证 D7（针对流量控制器 X4）**
| X4 | D7 | P(D7∣X4) |
| ---- | ---- | ---- |
| 0 | 0 | 0.70 |
| 0 | 1 | 0.30 |
| 1 | 0 | 0.20 |
| 1 | 1 | 0.80 |
| 2 | 0 | 0.10 |
| 2 | 1 | 0.90 |
| 3 | 0 | 0.95 |
| 3 | 1 | 0.05 |
