| X1 | Z1 | P(Z1∣X1) |
| ---- | ---- | ---- |
| 0 | 0 | 0.95 |  
| 0 | 1 | 0.03 |
| 0 | 2 | 0.02 |
| 0 | 3 | 0.0 |  
| 1 | 0 | 0.05 |
| 1 | 1 | 0.9 |
| 1 | 2 | 0.05 |
| 1 | 3 | 0.0 |
| 2 | 0 | 0.01 |
| 2 | 1 | 0.05 |
| 2 | 2 | 0.94 |
| 2 | 3 | 0.0 |
| 3 | 0 | 0.0 |
| 3 | 1 | 0.0 |
| 3 | 2 | 0.0 |
| 3 | 3 | 1.0 |

| X2 | Z2 | P(Z2∣X2) |
| ---- | ---- | ---- |
| 0 | 0 | 0.9 |
| 0 | 1 | 0.08 |
| 0 | 2 | 0.015 |
| 0 | 3 | 0.005 |
| 1 | 0 | 0.08 |
| 1 | 1 | 0.85 |
| 1 | 2 | 0.06 |
| 1 | 3 | 0.01 |
| 2 | 0 | 0.015 |
| 2 | 1 | 0.01 |
| 2 | 2 | 0.925 |
| 2 | 3 | 0.05 |
| 3 | 0 | 0.0 |
| 3 | 1 | 0.0 |
| 3 | 2 | 0.09 |
| 3 | 3 | 0.91 |

| X3 | Z3 | P(Z3∣X3) |
| ---- | ---- | ---- |
| 0 | 0 | 0.98 |
| 0 | 1 | 0.015 |
| 0 | 2 | 0.004 |
| 0 | 3 | 0.001 |
| 1 | 0 | 0.015 |
| 1 | 1 | 0.9 |
| 1 | 2 | 0.07 |
| 1 | 3 | 0.015 |
| 2 | 0 | 0.004 |
| 2 | 1 | 0.07 |
| 2 | 2 | 0.9 |
| 2 | 3 | 0.026 |
| 3 | 0 | 0.001 |
| 3 | 1 | 0.015 |
| 3 | 2 | 0.026 |
| 3 | 3 | 0.958 |

| X4 | Z4 | P(Z4∣X4) |
| ---- | ---- | ---- |
| 0 | 0 | 0.97 |
| 0 | 1 | 0.02 |
| 0 | 2 | 0.01 |
| 0 | 3 | 0.0 |
| 1 | 0 | 0.04 |
| 1 | 1 | 0.9 |
| 1 | 2 | 0.05 |
| 1 | 3 | 0.01 |
| 2 | 0 | 0.008 |
| 2 | 1 | 0.01 |
| 2 | 2 | 0.94 |
| 2 | 3 | 0.042 |
| 3 | 0 | 0.002 |
| 3 | 1 | 0.01 |
| 3 | 2 | 0.042 |
| 3 | 3 | 0.946 |
